Date : 2023-10-17 10:26:31
Directory : c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource
Total : 58 files,  1004 codes, 31 comments, 143 blanks, all 1178 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Message.cs                                                           | C#         |         16 |          0 |          3 |         19 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\MessageHandler.cs                                                    | C#         |         38 |          0 |          5 |         43 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\MessageIds.cs                                                        | C#         |         24 |          0 |          2 |         26 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Class\SubjectPotionAddMessage.cs                            | C#         |         27 |          1 |          5 |         33 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Entity\EntityAnimationMessage.cs                            | C#         |         30 |          4 |          6 |         40 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Entity\EntityCFrameMessage.cs                               | C#         |         39 |          1 |          8 |         48 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Entity\EntitySpawnMessage.cs                                | C#         |         40 |          1 |          7 |         48 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Game\DamageRequest.cs                                       | C#         |         29 |          0 |          5 |         34 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Game\GameStateChangedMessage.cs                             | C#         |         27 |          0 |          5 |         32 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerCFrameMessage.cs                               | C#         |         21 |          0 |          4 |         25 |
