"filename", "language", "Lua", "Markdown", "C#", "Properties", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Extensions\StringExtension.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Extensions\Vector3Extension.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\HourSocketServerCS.csproj", "XML", 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Hours\Entity.cs", "C#", 0, 0, 37, 0, 0, 0, 0, 9, 46
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Hours\Game.cs", "C#", 0, 0, 51, 0, 0, 0, 1, 11, 63
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Hours\Player.cs", "C#", 0, 0, 49, 0, 0, 0, 2, 15, 66
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Hours\PlayerHandler.cs", "C#", 0, 0, 39, 0, 0, 0, 0, 9, 48
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Loader.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Main.cs", "C#", 0, 0, 42, 0, 0, 0, 0, 9, 51
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Message.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\MessageHandler.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\MessageIds.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Class\SubjectPotionAddMessage.cs", "C#", 0, 0, 27, 0, 0, 0, 1, 5, 33
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Entity\EntityAnimationMessage.cs", "C#", 0, 0, 30, 0, 0, 0, 4, 6, 40
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Entity\EntityCFrameMessage.cs", "C#", 0, 0, 39, 0, 0, 0, 1, 8, 48
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Entity\EntitySpawnMessage.cs", "C#", 0, 0, 40, 0, 0, 0, 1, 7, 48
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Game\DamageRequest.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 5, 34
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Game\GameStateChangedMessage.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerCFrameMessage.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerChatMessage.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 6, 35
